Country Name,Country Code,Series Name,Series Code,2005 [YR2005]
Africa Eastern and Southern,AFE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,45.4231903855444
Africa Western and Central,AFW,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,13.7321082566658
Arab World,ARB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,57.0375948784838
Caribbean small states,CSS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,53.8388612259068
Central Europe and the Baltics,CEB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,46.4856228407456
Early-demographic dividend,EAR,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,46.9014338446935
East Asia & Pacific,EAS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,157.243741920252
East Asia & Pacific (excluding high income),EAP,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,130.903488030911
East Asia & Pacific (IDA & IBRD countries),TEA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,130.903488030911
Euro area,EMU,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..
Europe & Central Asia,ECS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..
Europe & Central Asia (excluding high income),ECA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,35.3192147142332
Europe & Central Asia (IDA & IBRD countries),TEC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,36.9281329451398
European Union,EUU,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..
Fragile and conflict affected situations,FCS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,36.1074320761501
Heavily indebted poor countries (HIPC),HPC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,21.6819805186004
High income,HIC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,103.832395169353
IBRD only,IBD,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,73.304280063201
IDA & IBRD total,IBT,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,70.1421069188908
IDA blend,IDB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,26.2608507908595
IDA only,IDX,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,40.2989235992407
IDA total,IDA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,34.3793492590615
Late-demographic dividend,LTE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,93.5468848064747
Latin America & Caribbean,LCN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,41.8132102528751
Latin America & Caribbean (excluding high income),LAC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,40.8094014695822
Latin America & the Caribbean (IDA & IBRD countries),TLA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,41.6809131928634
Least developed countries: UN classification,LDC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,26.4443171150822
Low & middle income,LMY,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,72.1418436039427
Low income,LIC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,45.0641750400232
Lower middle income,LMC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,52.9112259539374
Middle East & North Africa,MEA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,59.404903499295
Middle East & North Africa (excluding high income),MNA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,63.3667395722014
Middle East & North Africa (IDA & IBRD countries),TMN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,63.3185565388679
Middle income,MIC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,72.9618969418995
North America,NAC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,78.7327596308587
Not classified,INX,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..
OECD members,OED,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,100.542300449954
Other small states,OSS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,48.0527460837553
Pacific island small states,PSS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,55.2161385060337
Post-demographic dividend,PST,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,106.29890440188
Pre-demographic dividend,PRE,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,15.4725170604061
Small states,SST,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,49.6693085488707
South Asia,SAS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,61.3629192419703
South Asia (IDA & IBRD),TSA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,61.3629192419703
Sub-Saharan Africa,SSF,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,33.2702753412497
Sub-Saharan Africa (excluding high income),SSA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,33.1981287072506
Sub-Saharan Africa (IDA & IBRD countries),TSS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,33.2702753412497
Upper middle income,UMC,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,80.3976794584404
World,WLD,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,95.1143913530047
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
